air_id,country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
19,India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",2026-03-03 15:00:00,26.071318,91.87488,OZONE,12,54,29
20,India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",2026-03-03 15:00:00,26.10887,91.589544,PM2.5,89,125,106
21,India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",2026-03-03 15:00:00,26.10887,91.589544,NO2,8,29,17
22,India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",2026-03-03 15:00:00,26.10887,91.589544,NH3,4,6,5
23,India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",2026-03-03 15:00:00,26.10887,91.589544,CO,16,129,90
24,India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",2026-03-03 15:00:00,26.1875,91.744194,CO,12,28,20
25,India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",2026-03-03 15:00:00,26.1875,91.744194,OZONE,15,25,19
26,India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",2026-03-03 15:00:00,26.181742,91.78063,NO2,NA,NA,NA
27,India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",2026-03-03 15:00:00,14.465052,78.824187,PM2.5,50,73,60
28,India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",2026-03-03 15:00:00,14.465052,78.824187,PM10,65,105,82
29,India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",2026-03-03 15:00:00,14.465052,78.824187,NO2,20,26,21
30,India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",2026-03-03 15:00:00,14.465052,78.824187,SO2,13,17,16
31,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2026-03-03 15:00:00,16.987287,81.736318,SO2,7,34,16
32,India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",2026-03-03 15:00:00,13.615387,79.40923,PM2.5,NA,NA,NA
33,India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",2026-03-03 15:00:00,13.615387,79.40923,PM10,NA,NA,NA
34,India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",2026-03-03 15:00:00,13.615387,79.40923,NO2,30,32,31
35,India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",2026-03-03 15:00:00,16.536107,80.594233,PM10,45,65,52
36,India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",2026-03-03 15:00:00,16.536107,80.594233,NO2,24,24,24
37,India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",2026-03-03 15:00:00,16.536107,80.594233,NH3,3,3,3
38,India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",2026-03-03 15:00:00,25.42742,86.138861,OZONE,32,44,38
39,India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",2026-03-03 15:00:00,26.80365,84.51954,PM2.5,20,103,64
40,India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",2026-03-03 15:00:00,26.80365,84.51954,CO,42,89,53
41,India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",2026-03-03 15:00:00,26.80365,84.51954,OZONE,21,23,22
42,India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",2026-03-03 15:00:00,25.251013,86.989001,NO2,6,10,8
43,India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",2026-03-03 15:00:00,25.251013,86.989001,SO2,34,79,54
44,India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",2026-03-03 15:00:00,25.204762,85.51496,SO2,10,10,10
45,India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",2026-03-03 15:00:00,25.56752,83.966379,NO2,9,10,10
46,India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",2026-03-03 15:00:00,25.56752,83.966379,NH3,3,3,3
47,India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",2026-03-03 15:00:00,26.987634,94.636574,CO,22,60,31
48,India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",2026-03-03 15:00:00,26.987634,94.636574,OZONE,3,91,49
49,India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",2026-03-03 15:00:00,25.56261,84.663264,PM2.5,35,177,92
50,India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",2026-03-03 15:00:00,24.75746,84.366208,NH3,NA,NA,NA
51,India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",2026-03-03 15:00:00,25.42742,86.138861,PM2.5,25,250,112
52,India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",2026-03-03 15:00:00,16.536107,80.594233,OZONE,13,25,13
53,India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",2026-03-03 15:00:00,16.509717,80.612222,NH3,3,3,3
54,India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",2026-03-03 15:00:00,16.554731,80.64911,NH3,3,4,4
55,India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",2026-03-03 15:00:00,16.554731,80.64911,SO2,10,14,12
56,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2026-03-03 15:00:00,17.72,83.3,PM10,78,241,146
57,India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",2026-03-03 15:00:00,26.349082,92.68449,PM2.5,50,150,86
58,India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",2026-03-03 15:00:00,26.349082,92.68449,PM10,56,118,84
59,India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",2026-03-03 15:00:00,26.349082,92.68449,NH3,4,4,4
60,India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",2026-03-03 15:00:00,26.349082,92.68449,OZONE,8,10,9
61,India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",2026-03-03 15:00:00,26.446912,91.439057,PM2.5,116,167,155
62,India,Assam,Silchar,"Tarapur, Silchar - PCBA",2026-03-03 15:00:00,24.82827,92.79525,PM2.5,3,70,31
63,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-03-03 15:00:00,24.762518,84.982348,PM10,55,104,72
64,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",2026-03-03 15:00:00,25.697189,85.2459,SO2,6,8,7
65,India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",2026-03-03 15:00:00,25.560083,87.553265,NO2,9,9,9
66,India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",2026-03-03 15:00:00,26.088131,87.938403,NO2,9,12,11
67,India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",2026-03-03 15:00:00,25.780826,84.744677,PM10,53,115,82
68,India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",2026-03-03 15:00:00,25.780826,84.744677,NO2,2,2,2
69,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",2026-03-03 15:00:00,24.7955,84.9994,CO,42,100,47
70,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",2026-03-03 15:00:00,24.7955,84.9994,OZONE,17,53,18
71,India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",2026-03-03 15:00:00,24.792403,84.992416,OZONE,16,38,29
72,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-03-03 15:00:00,16.515083,80.518167,NH3,3,4,4
73,India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",2026-03-03 15:00:00,21.219665,81.630094,NH3,2,2,2
74,India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",2026-03-03 15:00:00,21.219665,81.630094,SO2,5,55,18
75,India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",2026-03-03 15:00:00,21.237755,81.705301,PM10,34,157,73
76,India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",2026-03-03 15:00:00,21.371751,81.664929,PM2.5,28,102,59
77,India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",2026-03-03 15:00:00,22.066315,83.338201,PM10,37,208,106
78,India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",2026-03-03 15:00:00,22.066315,83.338201,NH3,NA,NA,NA
79,India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",2026-03-03 15:00:00,22.066315,83.338201,CO,14,94,25
80,India,Delhi,Delhi,"Alipur, Delhi - DPCC",2026-03-03 15:00:00,28.815329,77.15301,NO2,1,24,14
81,India,Delhi,Delhi,"Alipur, Delhi - DPCC",2026-03-03 15:00:00,28.815329,77.15301,NH3,14,18,16
82,India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",2026-03-03 15:00:00,24.952822,84.002396,PM10,54,156,85
83,India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",2026-03-03 15:00:00,24.952822,84.002396,NO2,2,7,3
84,India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",2026-03-03 15:00:00,26.227167,84.357043,NO2,2,2,2
85,India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",2026-03-03 15:00:00,26.227167,84.357043,NH3,1,1,1
86,India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",2026-03-03 15:00:00,30.735567,76.775714,PM10,37,83,56
87,India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",2026-03-03 15:00:00,30.735567,76.775714,SO2,5,23,11
88,India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",2026-03-03 15:00:00,30.735567,76.775714,CO,62,100,78
89,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",2026-03-03 15:00:00,30.751462,76.762879,PM2.5,61,93,77
90,India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",2026-03-03 15:00:00,21.194815,81.31477,NO2,24,45,31
91,India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",2026-03-03 15:00:00,21.185571,81.343175,NH3,3,3,3
92,India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",2026-03-03 15:00:00,21.185571,81.343175,CO,28,34,30
93,India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",2026-03-03 15:00:00,21.224231,81.40835,PM10,19,103,49
94,India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",2026-03-03 15:00:00,21.224231,81.40835,SO2,8,69,28
95,India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",2026-03-03 15:00:00,22.118125,83.140608,PM10,40,87,61
96,India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",2026-03-03 15:00:00,22.118125,83.140608,CO,15,48,26
97,India,Chhattisgarh,Korba,"Rampur, Korba - CECB",2026-03-03 15:00:00,22.368195,82.746431,NH3,1,1,1
98,India,Chhattisgarh,Korba,"Rampur, Korba - CECB",2026-03-03 15:00:00,22.368195,82.746431,CO,7,51,26
99,India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",2026-03-03 15:00:00,22.348441,82.549611,NO2,15,23,20
100,India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",2026-03-03 15:00:00,22.348441,82.549611,CO,12,34,27
101,India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",2026-03-03 15:00:00,22.348441,82.549611,OZONE,2,20,7
102,India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",2026-03-03 15:00:00,22.12665,83.483212,PM10,68,209,133
103,India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",2026-03-03 15:00:00,21.258815,81.578979,NO2,NA,NA,NA
104,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",2026-03-03 15:00:00,26.1209,85.3647,OZONE,8,23,14
105,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",2026-03-03 15:00:00,25.586562,85.043586,NH3,10,12,11
106,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",2026-03-03 15:00:00,25.586562,85.043586,OZONE,8,38,17
107,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",2026-03-03 15:00:00,25.592539,85.227158,PM10,107,176,143
108,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",2026-03-03 15:00:00,25.592539,85.227158,SO2,3,7,5
109,India,Bihar,Patna,"Muradpur, Patna - BSPCB",2026-03-03 15:00:00,25.619651,85.147382,SO2,7,9,8
110,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2026-03-03 15:00:00,28.647622,77.315809,CO,114,130,118
111,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2026-03-03 15:00:00,28.647622,77.315809,OZONE,9,98,17
112,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2026-03-03 15:00:00,28.470691,77.109936,PM2.5,81,262,149
113,India,Delhi,Delhi,"Bawana, Delhi - DPCC",2026-03-03 15:00:00,28.7762,77.051074,NH3,5,11,7
114,India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2026-03-03 15:00:00,28.72565,77.201157,PM2.5,80,320,211
115,India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2026-03-03 15:00:00,28.72565,77.201157,PM10,132,329,173
116,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",2026-03-03 15:00:00,25.599486,85.113666,CO,20,92,36
117,India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",2026-03-03 15:00:00,25.366336,87.117468,NO2,5,7,6
118,India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",2026-03-03 15:00:00,25.892357,86.590325,NH3,4,4,4
119,India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ",2026-03-03 15:00:00,28.594169,77.1251,SO2,56,64,60
120,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",2026-03-03 15:00:00,28.656756,77.227234,SO2,7,100,36
121,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",2026-03-03 15:00:00,28.656756,77.227234,OZONE,21,97,77
122,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2026-03-03 15:00:00,28.498571,77.26484,PM10,147,308,191
123,India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",2026-03-03 15:00:00,28.60909,77.032541,NH3,6,8,7
124,India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",2026-03-03 15:00:00,28.60909,77.032541,OZONE,14,52,45
125,India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",2026-03-03 15:00:00,28.594004,76.909423,PM2.5,77,353,251
126,India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",2026-03-03 15:00:00,28.594004,76.909423,PM10,128,247,175
127,India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",2026-03-03 15:00:00,28.594004,76.909423,NO2,1,67,31
128,India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",2026-03-03 15:00:00,28.594004,76.909423,NH3,16,21,19
129,India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",2026-03-03 15:00:00,28.594004,76.909423,CO,102,118,107
130,India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",2026-03-03 15:00:00,28.594004,76.909423,OZONE,13,112,71
131,India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",2026-03-03 15:00:00,28.570173,76.933762,NH3,10,12,11
132,India,Delhi,Delhi,"Narela, Delhi - DPCC",2026-03-03 15:00:00,28.822836,77.101981,NH3,5,6,5
133,India,Delhi,Delhi,"Narela, Delhi - DPCC",2026-03-03 15:00:00,28.822836,77.101981,SO2,13,24,19
134,India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",2026-03-03 15:00:00,28.56789,77.250515,PM2.5,93,341,221
135,India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",2026-03-03 15:00:00,28.56789,77.250515,PM10,148,276,182
136,India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",2026-03-03 15:00:00,28.56789,77.250515,NO2,23,78,42
137,India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",2026-03-03 15:00:00,28.657381,77.158545,PM2.5,95,302,173
138,India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",2026-03-03 15:00:00,28.657381,77.158545,PM10,119,277,170
139,India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",2026-03-03 15:00:00,28.657381,77.158545,NO2,27,174,74
140,India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC",2026-03-03 15:00:00,28.62181,77.194463,NH3,6,8,7
141,India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",2026-03-03 15:00:00,28.672342,77.31526,PM10,151,265,184
142,India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",2026-03-03 15:00:00,28.672342,77.31526,NH3,6,8,6
143,India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",2026-03-03 15:00:00,28.672342,77.31526,CO,38,101,46
144,India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",2026-03-03 15:00:00,28.672342,77.31526,OZONE,10,108,72
145,India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",2026-03-03 15:00:00,28.699793,77.165453,PM2.5,97,325,221
146,India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",2026-03-03 15:00:00,28.699793,77.165453,NH3,10,16,12
147,India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",2026-03-03 15:00:00,23.107969,72.574648,PM2.5,55,178,91
148,India,Delhi,Delhi,"R K Puram, Delhi - DPCC",2026-03-03 15:00:00,28.563262,77.186937,CO,22,82,58
149,India,Delhi,Delhi,"Rohini, Delhi - DPCC",2026-03-03 15:00:00,28.732528,77.11992,SO2,13,51,23
150,India,Delhi,Delhi,"Shadipur, Delhi - CPCB",2026-03-03 15:00:00,28.651478,77.147311,NH3,11,15,12
151,India,Delhi,Delhi,"Shadipur, Delhi - CPCB",2026-03-03 15:00:00,28.651478,77.147311,SO2,13,19,18
152,India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",2026-03-03 15:00:00,28.710508,77.249485,NO2,16,63,34
153,India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",2026-03-03 15:00:00,28.710508,77.249485,SO2,34,53,42
154,India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",2026-03-03 15:00:00,28.710508,77.249485,CO,35,98,58
155,India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",2026-03-03 15:00:00,28.73282,77.170633,OZONE,3,83,49
156,India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",2026-03-03 15:00:00,28.58028,77.233829,PM10,141,277,180
157,India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",2026-03-03 15:00:00,28.58028,77.233829,CO,44,105,52
158,India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",2026-03-03 15:00:00,28.58028,77.233829,OZONE,5,135,92
159,India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",2026-03-03 15:00:00,28.591825,77.227307,PM10,137,232,168
160,India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",2026-03-03 15:00:00,28.591825,77.227307,CO,19,46,26
161,India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",2026-03-03 15:00:00,28.611281,77.237738,NH3,15,17,16
162,India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",2026-03-03 15:00:00,28.611281,77.237738,SO2,20,38,31
163,India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-03-03 15:00:00,28.636429,77.201067,PM2.5,12,130,62
164,India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",2026-03-03 15:00:00,28.530785,77.271255,PM10,163,261,199
165,India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",2026-03-03 15:00:00,28.530785,77.271255,NH3,8,13,10
166,India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",2026-03-03 15:00:00,28.674045,77.131023,OZONE,16,72,50
167,India,Delhi,Delhi,"Pusa, Delhi - IMD",2026-03-03 15:00:00,28.63611,77.173332,OZONE,38,124,48
168,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",2026-03-03 15:00:00,28.681174,77.302523,NH3,5,12,9
169,India,Delhi,Delhi,"IIT Delhi, Delhi - IITM",2026-03-03 15:00:00,28.54246,77.191651,PM10,139,227,178
170,India,Delhi,Delhi,"JNU, Delhi - DPCC",2026-03-03 15:00:00,28.540721,77.168544,SO2,19,23,20
171,India,Delhi,Delhi,"Mundka, Delhi - DPCC",2026-03-03 15:00:00,28.684678,77.076574,PM10,173,293,218
172,India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",2026-03-03 15:00:00,28.60909,77.032541,PM2.5,126,350,207
173,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",2026-03-03 15:00:00,28.571027,77.071901,NH3,13,26,19
174,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",2026-03-03 15:00:00,28.571027,77.071901,CO,15,100,34
175,India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ",2026-03-03 15:00:00,22.248853,70.776774,OZONE,7,29,19
176,India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro",2026-03-03 15:00:00,21.217779,72.834787,NO2,10,73,30
177,India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro",2026-03-03 15:00:00,21.217779,72.834787,CO,65,123,74
178,India,Gujarat,Surat,"Science Center, Surat - SMC",2026-03-03 15:00:00,21.170046,72.795405,PM2.5,179,447,251
179,India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro",2026-03-03 15:00:00,22.320153,73.216285,CO,60,139,86
180,India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",2026-03-03 15:00:00,20.362421,72.918013,PM10,66,120,97
181,India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",2026-03-03 15:00:00,22.969611,72.6435,NO2,57,142,101
182,India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",2026-03-03 15:00:00,22.969611,72.6435,NH3,7,18,12
183,India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",2026-03-03 15:00:00,22.969611,72.6435,OZONE,29,45,36
184,India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",2026-03-03 15:00:00,30.379589,76.778328,NO2,8,12,10
185,India,Haryana,Jind,"Police Lines, Jind - HSPCB",2026-03-03 15:00:00,29.307814,76.337619,NH3,1,3,2
186,India,Haryana,Jind,"Police Lines, Jind - HSPCB",2026-03-03 15:00:00,29.307814,76.337619,CO,4,86,20
187,India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",2026-03-03 15:00:00,29.8006,76.4155,PM2.5,64,84,76
188,India,Haryana,Karnal,"Sector-12, Karnal - HSPCB",2026-03-03 15:00:00,29.6953,77.0027,NO2,6,7,6
189,India,Haryana,Karnal,"Sector-12, Karnal - HSPCB",2026-03-03 15:00:00,29.6953,77.0027,CO,1,4,2
190,India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB",2026-03-03 15:00:00,29.966942,76.875879,CO,23,38,30
191,India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB",2026-03-03 15:00:00,29.966942,76.875879,OZONE,20,65,44
192,India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",2026-03-03 15:00:00,27.9002,76.9938,PM2.5,25,84,52
193,India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",2026-03-03 15:00:00,27.9002,76.9938,PM10,28,94,58
194,India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",2026-03-03 15:00:00,27.9002,76.9938,SO2,31,37,34
195,India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",2026-03-03 15:00:00,27.9002,76.9938,OZONE,22,30,28
196,India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",2026-03-03 15:00:00,28.4417,77.3217,NO2,36,39,38
197,India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",2026-03-03 15:00:00,28.4417,77.3217,NH3,11,12,11
198,India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",2026-03-03 15:00:00,28.4417,77.3217,CO,20,65,56
