air_id,country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollution_level
32,India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",2026-03-03 15:00:00,13.615387,79.40923,PM2.5,,,,Unknown
33,India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",2026-03-03 15:00:00,13.615387,79.40923,PM10,,,,Unknown
34,India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",2026-03-03 15:00:00,13.615387,79.40923,NO2,30.0,32.0,31.0,Low
35,India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",2026-03-03 15:00:00,16.536107,80.594233,PM10,45.0,65.0,52.0,Moderate
36,India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",2026-03-03 15:00:00,16.536107,80.594233,NO2,24.0,24.0,24.0,Low
37,India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",2026-03-03 15:00:00,16.536107,80.594233,NH3,3.0,3.0,3.0,Low
38,India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",2026-03-03 15:00:00,25.42742,86.138861,OZONE,32.0,44.0,38.0,Low
39,India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",2026-03-03 15:00:00,26.80365,84.51954,PM2.5,20.0,103.0,64.0,Moderate
40,India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",2026-03-03 15:00:00,26.80365,84.51954,CO,42.0,89.0,53.0,Moderate
41,India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",2026-03-03 15:00:00,26.80365,84.51954,OZONE,21.0,23.0,22.0,Low
42,India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",2026-03-03 15:00:00,25.251013,86.989001,NO2,6.0,10.0,8.0,Low
43,India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",2026-03-03 15:00:00,25.251013,86.989001,SO2,34.0,79.0,54.0,Moderate
44,India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",2026-03-03 15:00:00,25.204762,85.51496,SO2,10.0,10.0,10.0,Low
45,India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",2026-03-03 15:00:00,25.56752,83.966379,NO2,9.0,10.0,10.0,Low
46,India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",2026-03-03 15:00:00,25.56752,83.966379,NH3,3.0,3.0,3.0,Low
47,India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",2026-03-03 15:00:00,26.987634,94.636574,CO,22.0,60.0,31.0,Low
48,India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",2026-03-03 15:00:00,26.987634,94.636574,OZONE,3.0,91.0,49.0,Low
49,India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",2026-03-03 15:00:00,25.56261,84.663264,PM2.5,35.0,177.0,92.0,Moderate
50,India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",2026-03-03 15:00:00,24.75746,84.366208,NH3,,,,Unknown
51,India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",2026-03-03 15:00:00,25.42742,86.138861,PM2.5,25.0,250.0,112.0,High
52,India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",2026-03-03 15:00:00,16.536107,80.594233,OZONE,13.0,25.0,13.0,Low
53,India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",2026-03-03 15:00:00,16.509717,80.612222,NH3,3.0,3.0,3.0,Low
54,India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",2026-03-03 15:00:00,16.554731,80.64911,NH3,3.0,4.0,4.0,Low
55,India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",2026-03-03 15:00:00,16.554731,80.64911,SO2,10.0,14.0,12.0,Low
56,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2026-03-03 15:00:00,17.72,83.3,PM10,78.0,241.0,146.0,High
57,India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",2026-03-03 15:00:00,26.349082,92.68449,PM2.5,50.0,150.0,86.0,Moderate
58,India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",2026-03-03 15:00:00,26.349082,92.68449,PM10,56.0,118.0,84.0,Moderate
59,India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",2026-03-03 15:00:00,26.349082,92.68449,NH3,4.0,4.0,4.0,Low
60,India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",2026-03-03 15:00:00,26.349082,92.68449,OZONE,8.0,10.0,9.0,Low
61,India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",2026-03-03 15:00:00,26.446912,91.439057,PM2.5,116.0,167.0,155.0,High
62,India,Assam,Silchar,"Tarapur, Silchar - PCBA",2026-03-03 15:00:00,24.82827,92.79525,PM2.5,3.0,70.0,31.0,Low
63,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",2026-03-03 15:00:00,24.762518,84.982348,PM10,55.0,104.0,72.0,Moderate
64,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",2026-03-03 15:00:00,25.697189,85.2459,SO2,6.0,8.0,7.0,Low
65,India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",2026-03-03 15:00:00,25.560083,87.553265,NO2,9.0,9.0,9.0,Low
66,India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",2026-03-03 15:00:00,26.088131,87.938403,NO2,9.0,12.0,11.0,Low
67,India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",2026-03-03 15:00:00,25.780826,84.744677,PM10,53.0,115.0,82.0,Moderate
68,India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",2026-03-03 15:00:00,25.780826,84.744677,NO2,2.0,2.0,2.0,Low
69,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",2026-03-03 15:00:00,24.7955,84.9994,CO,42.0,100.0,47.0,Low
70,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",2026-03-03 15:00:00,24.7955,84.9994,OZONE,17.0,53.0,18.0,Low
71,India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",2026-03-03 15:00:00,24.792403,84.992416,OZONE,16.0,38.0,29.0,Low
72,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-03-03 15:00:00,16.515083,80.518167,NH3,3.0,4.0,4.0,Low
73,India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",2026-03-03 15:00:00,21.219665,81.630094,NH3,2.0,2.0,2.0,Low
74,India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",2026-03-03 15:00:00,21.219665,81.630094,SO2,5.0,55.0,18.0,Low
75,India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",2026-03-03 15:00:00,21.237755,81.705301,PM10,34.0,157.0,73.0,Moderate
76,India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",2026-03-03 15:00:00,21.371751,81.664929,PM2.5,28.0,102.0,59.0,Moderate
77,India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",2026-03-03 15:00:00,22.066315,83.338201,PM10,37.0,208.0,106.0,High
78,India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",2026-03-03 15:00:00,22.066315,83.338201,NH3,,,,Unknown
79,India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",2026-03-03 15:00:00,22.066315,83.338201,CO,14.0,94.0,25.0,Low
80,India,Delhi,Delhi,"Alipur, Delhi - DPCC",2026-03-03 15:00:00,28.815329,77.15301,NO2,1.0,24.0,14.0,Low
81,India,Delhi,Delhi,"Alipur, Delhi - DPCC",2026-03-03 15:00:00,28.815329,77.15301,NH3,14.0,18.0,16.0,Low
82,India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",2026-03-03 15:00:00,24.952822,84.002396,PM10,54.0,156.0,85.0,Moderate
83,India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",2026-03-03 15:00:00,24.952822,84.002396,NO2,2.0,7.0,3.0,Low
84,India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",2026-03-03 15:00:00,26.227167,84.357043,NO2,2.0,2.0,2.0,Low
85,India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",2026-03-03 15:00:00,26.227167,84.357043,NH3,1.0,1.0,1.0,Low
86,India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",2026-03-03 15:00:00,30.735567,76.775714,PM10,37.0,83.0,56.0,Moderate
87,India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",2026-03-03 15:00:00,30.735567,76.775714,SO2,5.0,23.0,11.0,Low
88,India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",2026-03-03 15:00:00,30.735567,76.775714,CO,62.0,100.0,78.0,Moderate
89,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",2026-03-03 15:00:00,30.751462,76.762879,PM2.5,61.0,93.0,77.0,Moderate
90,India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",2026-03-03 15:00:00,21.194815,81.31477,NO2,24.0,45.0,31.0,Low
91,India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",2026-03-03 15:00:00,21.185571,81.343175,NH3,3.0,3.0,3.0,Low
92,India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",2026-03-03 15:00:00,21.185571,81.343175,CO,28.0,34.0,30.0,Low
93,India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",2026-03-03 15:00:00,21.224231,81.40835,PM10,19.0,103.0,49.0,Low
94,India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",2026-03-03 15:00:00,21.224231,81.40835,SO2,8.0,69.0,28.0,Low
95,India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",2026-03-03 15:00:00,22.118125,83.140608,PM10,40.0,87.0,61.0,Moderate
96,India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",2026-03-03 15:00:00,22.118125,83.140608,CO,15.0,48.0,26.0,Low
97,India,Chhattisgarh,Korba,"Rampur, Korba - CECB",2026-03-03 15:00:00,22.368195,82.746431,NH3,1.0,1.0,1.0,Low
98,India,Chhattisgarh,Korba,"Rampur, Korba - CECB",2026-03-03 15:00:00,22.368195,82.746431,CO,7.0,51.0,26.0,Low
99,India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",2026-03-03 15:00:00,22.348441,82.549611,NO2,15.0,23.0,20.0,Low
100,India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",2026-03-03 15:00:00,22.348441,82.549611,CO,12.0,34.0,27.0,Low
101,India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",2026-03-03 15:00:00,22.348441,82.549611,OZONE,2.0,20.0,7.0,Low
102,India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",2026-03-03 15:00:00,22.12665,83.483212,PM10,68.0,209.0,133.0,High
103,India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",2026-03-03 15:00:00,21.258815,81.578979,NO2,,,,Unknown
104,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",2026-03-03 15:00:00,26.1209,85.3647,OZONE,8.0,23.0,14.0,Low
105,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",2026-03-03 15:00:00,25.586562,85.043586,NH3,10.0,12.0,11.0,Low
106,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",2026-03-03 15:00:00,25.586562,85.043586,OZONE,8.0,38.0,17.0,Low
107,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",2026-03-03 15:00:00,25.592539,85.227158,PM10,107.0,176.0,143.0,High
108,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",2026-03-03 15:00:00,25.592539,85.227158,SO2,3.0,7.0,5.0,Low
109,India,Bihar,Patna,"Muradpur, Patna - BSPCB",2026-03-03 15:00:00,25.619651,85.147382,SO2,7.0,9.0,8.0,Low
110,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2026-03-03 15:00:00,28.647622,77.315809,CO,114.0,130.0,118.0,High
111,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2026-03-03 15:00:00,28.647622,77.315809,OZONE,9.0,98.0,17.0,Low
112,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2026-03-03 15:00:00,28.470691,77.109936,PM2.5,81.0,262.0,149.0,High
113,India,Delhi,Delhi,"Bawana, Delhi - DPCC",2026-03-03 15:00:00,28.7762,77.051074,NH3,5.0,11.0,7.0,Low
114,India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2026-03-03 15:00:00,28.72565,77.201157,PM2.5,80.0,320.0,211.0,High
115,India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",2026-03-03 15:00:00,28.72565,77.201157,PM10,132.0,329.0,173.0,High
116,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",2026-03-03 15:00:00,25.599486,85.113666,CO,20.0,92.0,36.0,Low
117,India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",2026-03-03 15:00:00,25.366336,87.117468,NO2,5.0,7.0,6.0,Low
118,India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",2026-03-03 15:00:00,25.892357,86.590325,NH3,4.0,4.0,4.0,Low
119,India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ",2026-03-03 15:00:00,28.594169,77.1251,SO2,56.0,64.0,60.0,Moderate
120,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",2026-03-03 15:00:00,28.656756,77.227234,SO2,7.0,100.0,36.0,Low
121,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",2026-03-03 15:00:00,28.656756,77.227234,OZONE,21.0,97.0,77.0,Moderate
122,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2026-03-03 15:00:00,28.498571,77.26484,PM10,147.0,308.0,191.0,High
123,India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",2026-03-03 15:00:00,28.60909,77.032541,NH3,6.0,8.0,7.0,Low
124,India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",2026-03-03 15:00:00,28.60909,77.032541,OZONE,14.0,52.0,45.0,Low
125,India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",2026-03-03 15:00:00,28.594004,76.909423,PM2.5,77.0,353.0,251.0,High
126,India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",2026-03-03 15:00:00,28.594004,76.909423,PM10,128.0,247.0,175.0,High
127,India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",2026-03-03 15:00:00,28.594004,76.909423,NO2,1.0,67.0,31.0,Low
128,India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",2026-03-03 15:00:00,28.594004,76.909423,NH3,16.0,21.0,19.0,Low
129,India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",2026-03-03 15:00:00,28.594004,76.909423,CO,102.0,118.0,107.0,High
130,India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",2026-03-03 15:00:00,28.594004,76.909423,OZONE,13.0,112.0,71.0,Moderate
131,India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",2026-03-03 15:00:00,28.570173,76.933762,NH3,10.0,12.0,11.0,Low
132,India,Delhi,Delhi,"Narela, Delhi - DPCC",2026-03-03 15:00:00,28.822836,77.101981,NH3,5.0,6.0,5.0,Low
133,India,Delhi,Delhi,"Narela, Delhi - DPCC",2026-03-03 15:00:00,28.822836,77.101981,SO2,13.0,24.0,19.0,Low
134,India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",2026-03-03 15:00:00,28.56789,77.250515,PM2.5,93.0,341.0,221.0,High
135,India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",2026-03-03 15:00:00,28.56789,77.250515,PM10,148.0,276.0,182.0,High
136,India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",2026-03-03 15:00:00,28.56789,77.250515,NO2,23.0,78.0,42.0,Low
137,India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",2026-03-03 15:00:00,28.657381,77.158545,PM2.5,95.0,302.0,173.0,High
138,India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",2026-03-03 15:00:00,28.657381,77.158545,PM10,119.0,277.0,170.0,High
139,India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",2026-03-03 15:00:00,28.657381,77.158545,NO2,27.0,174.0,74.0,Moderate
140,India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC",2026-03-03 15:00:00,28.62181,77.194463,NH3,6.0,8.0,7.0,Low
141,India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",2026-03-03 15:00:00,28.672342,77.31526,PM10,151.0,265.0,184.0,High
142,India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",2026-03-03 15:00:00,28.672342,77.31526,NH3,6.0,8.0,6.0,Low
143,India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",2026-03-03 15:00:00,28.672342,77.31526,CO,38.0,101.0,46.0,Low
144,India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",2026-03-03 15:00:00,28.672342,77.31526,OZONE,10.0,108.0,72.0,Moderate
145,India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",2026-03-03 15:00:00,28.699793,77.165453,PM2.5,97.0,325.0,221.0,High
146,India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",2026-03-03 15:00:00,28.699793,77.165453,NH3,10.0,16.0,12.0,Low
147,India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",2026-03-03 15:00:00,23.107969,72.574648,PM2.5,55.0,178.0,91.0,Moderate
148,India,Delhi,Delhi,"R K Puram, Delhi - DPCC",2026-03-03 15:00:00,28.563262,77.186937,CO,22.0,82.0,58.0,Moderate
149,India,Delhi,Delhi,"Rohini, Delhi - DPCC",2026-03-03 15:00:00,28.732528,77.11992,SO2,13.0,51.0,23.0,Low
150,India,Delhi,Delhi,"Shadipur, Delhi - CPCB",2026-03-03 15:00:00,28.651478,77.147311,NH3,11.0,15.0,12.0,Low
151,India,Delhi,Delhi,"Shadipur, Delhi - CPCB",2026-03-03 15:00:00,28.651478,77.147311,SO2,13.0,19.0,18.0,Low
152,India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",2026-03-03 15:00:00,28.710508,77.249485,NO2,16.0,63.0,34.0,Low
153,India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",2026-03-03 15:00:00,28.710508,77.249485,SO2,34.0,53.0,42.0,Low
154,India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",2026-03-03 15:00:00,28.710508,77.249485,CO,35.0,98.0,58.0,Moderate
155,India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",2026-03-03 15:00:00,28.73282,77.170633,OZONE,3.0,83.0,49.0,Low
156,India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",2026-03-03 15:00:00,28.58028,77.233829,PM10,141.0,277.0,180.0,High
157,India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",2026-03-03 15:00:00,28.58028,77.233829,CO,44.0,105.0,52.0,Moderate
158,India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",2026-03-03 15:00:00,28.58028,77.233829,OZONE,5.0,135.0,92.0,Moderate
159,India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",2026-03-03 15:00:00,28.591825,77.227307,PM10,137.0,232.0,168.0,High
160,India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",2026-03-03 15:00:00,28.591825,77.227307,CO,19.0,46.0,26.0,Low
161,India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",2026-03-03 15:00:00,28.611281,77.237738,NH3,15.0,17.0,16.0,Low
162,India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",2026-03-03 15:00:00,28.611281,77.237738,SO2,20.0,38.0,31.0,Low
163,India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2026-03-03 15:00:00,28.636429,77.201067,PM2.5,12.0,130.0,62.0,Moderate
164,India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",2026-03-03 15:00:00,28.530785,77.271255,PM10,163.0,261.0,199.0,High
165,India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",2026-03-03 15:00:00,28.530785,77.271255,NH3,8.0,13.0,10.0,Low
166,India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",2026-03-03 15:00:00,28.674045,77.131023,OZONE,16.0,72.0,50.0,Low
167,India,Delhi,Delhi,"Pusa, Delhi - IMD",2026-03-03 15:00:00,28.63611,77.173332,OZONE,38.0,124.0,48.0,Low
168,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",2026-03-03 15:00:00,28.681174,77.302523,NH3,5.0,12.0,9.0,Low
169,India,Delhi,Delhi,"IIT Delhi, Delhi - IITM",2026-03-03 15:00:00,28.54246,77.191651,PM10,139.0,227.0,178.0,High
170,India,Delhi,Delhi,"JNU, Delhi - DPCC",2026-03-03 15:00:00,28.540721,77.168544,SO2,19.0,23.0,20.0,Low
171,India,Delhi,Delhi,"Mundka, Delhi - DPCC",2026-03-03 15:00:00,28.684678,77.076574,PM10,173.0,293.0,218.0,High
172,India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",2026-03-03 15:00:00,28.60909,77.032541,PM2.5,126.0,350.0,207.0,High
173,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",2026-03-03 15:00:00,28.571027,77.071901,NH3,13.0,26.0,19.0,Low
174,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",2026-03-03 15:00:00,28.571027,77.071901,CO,15.0,100.0,34.0,Low
175,India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ",2026-03-03 15:00:00,22.248853,70.776774,OZONE,7.0,29.0,19.0,Low
176,India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro",2026-03-03 15:00:00,21.217779,72.834787,NO2,10.0,73.0,30.0,Low
