traffic_id,timestamp,day,hour,weather,area_type,traffic_density,car_count,bike_count,truck_count,signal_waiting_time_seconds,traffic_load,date
28,2025-04-26 11:07:00,Saturday,11,Stormy,Industrial,Medium,44,64,8,27,116,2025-04-26
29,2025-10-20 17:09:00,Monday,17,Foggy,Commercial,Medium,26,59,5,29,90,2025-10-20
30,2025-04-19 10:12:00,Saturday,10,Cloudy,Commercial,High,115,120,18,145,253,2025-04-19
31,2025-11-01 14:14:00,Saturday,14,Foggy,Residential,Low,11,20,5,14,36,2025-11-01
32,2025-09-02 14:34:00,Tuesday,14,Clear,Residential,Medium,27,48,9,36,84,2025-09-02
33,2025-02-15 16:46:00,Saturday,16,Cloudy,Commercial,Medium,44,69,13,56,126,2025-02-15
34,2025-04-13 05:22:00,Sunday,5,Clear,Highway,Medium,37,62,8,60,107,2025-04-13
35,2025-09-19 03:59:00,Friday,3,Rainy,Industrial,Medium,49,53,13,35,115,2025-09-19
36,2025-07-30 13:20:00,Wednesday,13,Stormy,School Zone,Low,6,24,3,13,33,2025-07-30
37,2025-04-20 08:36:00,Sunday,8,Clear,Highway,Medium,27,35,7,37,69,2025-04-20
38,2025-03-13 12:56:00,Thursday,12,Clear,Highway,Low,16,30,1,12,47,2025-03-13
39,2025-01-21 07:47:00,Tuesday,7,Rainy,Highway,High,50,98,20,134,168,2025-01-21
40,2025-11-14 18:55:00,Friday,18,Cloudy,Residential,Medium,20,34,7,32,61,2025-11-14
41,2025-04-30 21:42:00,Wednesday,21,Stormy,Highway,Low,5,28,5,19,38,2025-04-30
42,2025-05-02 11:05:00,Friday,11,Stormy,Commercial,Low,13,30,1,17,44,2025-05-02
43,2025-11-08 00:05:00,Saturday,0,Rainy,Residential,Low,6,27,4,6,37,2025-11-08
44,2025-03-04 12:01:00,Tuesday,12,Cloudy,Industrial,Medium,29,36,14,55,79,2025-03-04
45,2025-04-06 06:59:00,Sunday,6,Stormy,Residential,Low,6,12,3,18,21,2025-04-06
46,2025-10-19 11:28:00,Sunday,11,Foggy,Highway,Low,10,22,3,19,35,2025-10-19
47,2025-10-14 21:49:00,Tuesday,21,Stormy,School Zone,Low,15,11,4,13,30,2025-10-14
48,2025-03-30 20:02:00,Sunday,20,Foggy,Industrial,Medium,45,67,14,55,126,2025-03-30
49,2025-03-29 08:40:00,Saturday,8,Foggy,Highway,Medium,25,35,8,55,68,2025-03-29
50,2025-11-28 06:03:00,Friday,6,Rainy,Commercial,Low,7,23,2,13,32,2025-11-28
51,2025-12-16 22:32:00,Tuesday,22,Foggy,Residential,Low,19,18,4,11,41,2025-12-16
52,2025-12-19 17:46:00,Friday,17,Clear,Highway,Medium,21,64,9,38,94,2025-12-19
53,2025-03-05 11:53:00,Wednesday,11,Rainy,School Zone,Low,5,13,3,18,21,2025-03-05
54,2025-08-06 18:03:00,Wednesday,18,Rainy,Highway,Medium,22,40,11,30,73,2025-08-06
55,2025-10-03 08:53:00,Friday,8,Foggy,Commercial,High,110,70,21,136,201,2025-10-03
56,2025-06-11 12:48:00,Wednesday,12,Foggy,Industrial,Low,9,18,1,5,28,2025-06-11
57,2025-01-18 00:08:00,Saturday,0,Clear,Residential,Low,16,27,2,15,45,2025-01-18
58,2025-06-04 01:27:00,Wednesday,1,Foggy,School Zone,Low,18,13,2,14,33,2025-06-04
59,2025-08-08 02:23:00,Friday,2,Foggy,Highway,Low,10,17,1,20,28,2025-08-08
60,2025-03-12 05:05:00,Wednesday,5,Rainy,Highway,Low,20,30,2,11,52,2025-03-12
61,2025-05-11 05:38:00,Sunday,5,Clear,Industrial,Low,16,28,2,14,46,2025-05-11
62,2025-07-22 00:33:00,Tuesday,0,Clear,Highway,Medium,32,50,8,31,90,2025-07-22
63,2025-02-14 04:10:00,Friday,4,Cloudy,Industrial,Low,14,19,0,15,33,2025-02-14
64,2025-11-26 13:29:00,Wednesday,13,Clear,Highway,Medium,48,54,7,51,109,2025-11-26
65,2025-04-07 12:19:00,Monday,12,Cloudy,Residential,Low,12,20,2,5,34,2025-04-07
66,2025-04-22 17:49:00,Tuesday,17,Clear,Residential,High,101,149,24,158,274,2025-04-22
67,2025-06-10 11:36:00,Tuesday,11,Cloudy,Residential,Low,19,10,1,5,30,2025-06-10
68,2025-12-01 01:24:00,Monday,1,Foggy,Commercial,Low,20,13,1,6,34,2025-12-01
69,2025-03-28 13:59:00,Friday,13,Cloudy,Commercial,Medium,34,33,12,57,79,2025-03-28
70,2025-04-28 21:07:00,Monday,21,Foggy,Industrial,Medium,30,37,7,32,74,2025-04-28
71,2025-06-05 19:21:00,Thursday,19,Foggy,Industrial,Medium,34,62,13,23,109,2025-06-05
72,2025-03-13 12:30:00,Thursday,12,Foggy,School Zone,Low,5,24,4,8,33,2025-03-13
73,2025-03-19 12:14:00,Wednesday,12,Clear,Industrial,Medium,34,39,8,26,81,2025-03-19
74,2025-12-31 10:44:00,Wednesday,10,Clear,Highway,High,77,118,33,154,228,2025-12-31
75,2025-06-25 08:29:00,Wednesday,8,Stormy,Commercial,High,85,95,34,123,214,2025-06-25
76,2025-12-13 01:14:00,Saturday,1,Rainy,Industrial,Medium,42,58,15,44,115,2025-12-13
77,2025-01-13 18:42:00,Monday,18,Cloudy,Highway,High,78,127,37,63,242,2025-01-13
78,2025-09-11 05:33:00,Thursday,5,Clear,School Zone,Medium,25,50,10,28,85,2025-09-11
79,2025-10-29 08:02:00,Wednesday,8,Rainy,Industrial,High,63,105,34,131,202,2025-10-29
80,2025-01-11 07:33:00,Saturday,7,Foggy,Residential,Medium,43,37,7,29,87,2025-01-11
81,2025-11-06 13:03:00,Thursday,13,Cloudy,Residential,Medium,48,41,7,43,96,2025-11-06
82,2025-03-01 16:40:00,Saturday,16,Clear,Industrial,Medium,31,41,5,38,77,2025-03-01
83,2025-11-06 11:44:00,Thursday,11,Clear,Commercial,Low,6,13,2,9,21,2025-11-06
84,2025-07-31 09:33:00,Thursday,9,Clear,School Zone,Medium,49,38,6,21,93,2025-07-31
85,2025-05-08 17:30:00,Thursday,17,Stormy,Residential,Medium,44,70,5,40,119,2025-05-08
86,2025-11-28 21:07:00,Friday,21,Stormy,School Zone,Low,9,14,1,15,24,2025-11-28
87,2025-08-08 17:53:00,Friday,17,Cloudy,Commercial,High,74,135,18,171,227,2025-08-08
88,2025-01-06 13:22:00,Monday,13,Cloudy,Highway,Low,10,18,2,20,30,2025-01-06
89,2025-12-29 01:36:00,Monday,1,Cloudy,School Zone,Low,6,20,4,6,30,2025-12-29
90,2025-05-22 19:08:00,Thursday,19,Stormy,Commercial,High,109,117,39,77,265,2025-05-22
91,2025-08-10 08:39:00,Sunday,8,Cloudy,Industrial,High,80,94,35,67,209,2025-08-10
92,2025-09-02 09:45:00,Tuesday,9,Rainy,Commercial,High,93,139,39,93,271,2025-09-02
93,2025-03-17 19:18:00,Monday,19,Cloudy,Commercial,High,51,109,40,180,200,2025-03-17
94,2025-04-11 20:03:00,Friday,20,Foggy,Commercial,Medium,37,48,12,45,97,2025-04-11
95,2025-03-02 13:37:00,Sunday,13,Clear,School Zone,Medium,45,42,9,23,96,2025-03-02
96,2025-10-12 16:05:00,Sunday,16,Foggy,Commercial,Low,6,29,2,10,37,2025-10-12
97,2025-01-07 07:38:00,Tuesday,7,Cloudy,School Zone,High,75,99,21,128,195,2025-01-07
98,2025-10-31 15:38:00,Friday,15,Stormy,Industrial,Medium,45,57,7,29,109,2025-10-31
99,2025-11-17 04:23:00,Monday,4,Cloudy,Highway,Low,17,10,2,11,29,2025-11-17
100,2025-01-21 21:32:00,Tuesday,21,Cloudy,Industrial,Medium,20,37,9,27,66,2025-01-21
101,2025-06-08 21:45:00,Sunday,21,Foggy,Industrial,Low,10,29,4,5,43,2025-06-08
102,2025-03-05 13:01:00,Wednesday,13,Rainy,Commercial,Low,11,28,3,16,42,2025-03-05
103,2025-10-13 07:22:00,Monday,7,Clear,School Zone,High,53,88,26,97,167,2025-10-13
104,2025-09-04 05:33:00,Thursday,5,Rainy,School Zone,Low,20,13,2,5,35,2025-09-04
105,2025-04-17 08:32:00,Thursday,8,Foggy,Commercial,High,82,121,15,63,218,2025-04-17
106,2025-11-15 07:09:00,Saturday,7,Foggy,School Zone,Medium,39,47,14,52,100,2025-11-15
107,2025-11-10 04:56:00,Monday,4,Stormy,Residential,Low,5,22,4,19,31,2025-11-10
108,2025-01-13 19:24:00,Monday,19,Clear,School Zone,Medium,28,69,10,38,107,2025-01-13
109,2025-11-09 11:59:00,Sunday,11,Cloudy,Commercial,Low,19,15,1,8,35,2025-11-09
110,2025-12-07 02:46:00,Sunday,2,Rainy,School Zone,Medium,21,42,9,51,72,2025-12-07
111,2025-05-30 08:04:00,Friday,8,Rainy,Commercial,Medium,28,47,9,23,84,2025-05-30
112,2025-07-20 01:56:00,Sunday,1,Cloudy,Industrial,Low,11,20,4,17,35,2025-07-20
113,2025-05-29 20:21:00,Thursday,20,Cloudy,Industrial,Medium,45,61,13,26,119,2025-05-29
114,2025-12-31 18:39:00,Wednesday,18,Cloudy,School Zone,Medium,42,45,11,27,98,2025-12-31
115,2025-12-06 23:00:00,Saturday,23,Cloudy,Highway,Low,9,28,0,20,37,2025-12-06
116,2025-10-04 01:08:00,Saturday,1,Foggy,Highway,Medium,46,55,10,34,111,2025-10-04
117,2025-01-31 10:21:00,Friday,10,Rainy,School Zone,Medium,48,47,5,31,100,2025-01-31
118,2025-11-17 10:52:00,Monday,10,Stormy,Industrial,Medium,30,61,10,46,101,2025-11-17
119,2025-10-08 12:43:00,Wednesday,12,Cloudy,Residential,Medium,47,42,9,35,98,2025-10-08
120,2025-09-01 07:10:00,Monday,7,Cloudy,Industrial,Medium,40,45,11,29,96,2025-09-01
121,2025-11-19 16:31:00,Wednesday,16,Stormy,Industrial,Low,9,29,5,11,43,2025-11-19
122,2025-07-16 11:03:00,Wednesday,11,Clear,Highway,Low,19,25,0,7,44,2025-07-16
123,2025-09-07 14:33:00,Sunday,14,Stormy,School Zone,Low,13,26,0,16,39,2025-09-07
124,2025-06-02 22:06:00,Monday,22,Cloudy,Residential,Low,6,28,5,5,39,2025-06-02
125,2025-07-08 05:50:00,Tuesday,5,Cloudy,Commercial,Medium,29,37,8,35,74,2025-07-08
126,2025-03-17 11:54:00,Monday,11,Cloudy,Industrial,Medium,39,54,10,56,103,2025-03-17
127,2025-01-12 06:47:00,Sunday,6,Foggy,Highway,Low,17,15,2,12,34,2025-01-12
128,2025-03-08 16:42:00,Saturday,16,Stormy,School Zone,Medium,28,60,11,43,99,2025-03-08
129,2025-01-23 14:04:00,Thursday,14,Stormy,Highway,Low,19,25,3,11,47,2025-01-23
130,2025-04-24 01:19:00,Thursday,1,Cloudy,Highway,Low,17,19,0,17,36,2025-04-24
131,2025-10-11 11:49:00,Saturday,11,Cloudy,Highway,Low,12,17,2,11,31,2025-10-11
132,2025-10-16 01:49:00,Thursday,1,Rainy,Residential,Low,6,21,3,9,30,2025-10-16
133,2025-03-06 05:20:00,Thursday,5,Cloudy,Industrial,Low,7,22,3,15,32,2025-03-06
134,2025-09-14 04:53:00,Sunday,4,Foggy,School Zone,Low,15,27,2,11,44,2025-09-14
135,2025-05-10 14:00:00,Saturday,14,Clear,Residential,Low,11,10,3,6,24,2025-05-10
136,2025-10-10 09:32:00,Friday,9,Rainy,Industrial,High,91,93,36,66,220,2025-10-10
137,2025-06-25 04:53:00,Wednesday,4,Rainy,Residential,Medium,35,68,5,36,108,2025-06-25
138,2025-11-17 12:15:00,Monday,12,Clear,Commercial,Medium,49,40,8,32,97,2025-11-17
139,2025-11-06 23:52:00,Thursday,23,Clear,Residential,Medium,20,65,10,30,95,2025-11-06
140,2025-12-17 13:25:00,Wednesday,13,Cloudy,Residential,Low,6,19,4,9,29,2025-12-17
141,2025-08-18 02:10:00,Monday,2,Foggy,Industrial,Medium,20,46,5,51,71,2025-08-18
142,2025-06-16 17:20:00,Monday,17,Stormy,Residential,High,106,118,27,146,251,2025-06-16
143,2025-10-07 23:35:00,Tuesday,23,Clear,Commercial,Medium,33,45,6,48,84,2025-10-07
144,2025-02-02 02:14:00,Sunday,2,Cloudy,Highway,Medium,40,40,11,31,91,2025-02-02
145,2025-01-01 21:51:00,Wednesday,21,Foggy,Commercial,Low,16,24,1,19,41,2025-01-01
146,2025-01-05 11:56:00,Sunday,11,Foggy,Residential,Medium,39,63,15,44,117,2025-01-05
147,2025-07-29 13:09:00,Tuesday,13,Stormy,Commercial,Medium,41,58,9,27,108,2025-07-29
148,2025-03-28 15:05:00,Friday,15,Cloudy,Commercial,Low,5,13,0,8,18,2025-03-28
149,2025-03-11 22:57:00,Tuesday,22,Rainy,Highway,Medium,43,46,15,54,104,2025-03-11
150,2025-03-16 07:59:00,Sunday,7,Rainy,School Zone,Medium,48,61,11,41,120,2025-03-16
151,2025-07-22 19:02:00,Tuesday,19,Foggy,Highway,Medium,48,39,10,26,97,2025-07-22
152,2025-09-27 04:17:00,Saturday,4,Cloudy,Industrial,Low,15,12,2,13,29,2025-09-27
153,2025-01-20 22:12:00,Monday,22,Cloudy,Commercial,Medium,47,52,15,38,114,2025-01-20
154,2025-05-18 16:50:00,Sunday,16,Stormy,Commercial,Medium,41,44,10,28,95,2025-05-18
155,2025-07-11 21:24:00,Friday,21,Foggy,Commercial,Medium,37,57,12,37,106,2025-07-11
156,2025-09-18 19:15:00,Thursday,19,Cloudy,Industrial,Medium,30,61,7,45,98,2025-09-18
157,2025-11-06 20:43:00,Thursday,20,Rainy,Commercial,High,58,143,15,90,216,2025-11-06
158,2025-12-09 18:16:00,Tuesday,18,Rainy,School Zone,High,99,89,25,122,213,2025-12-09
159,2025-12-16 12:32:00,Tuesday,12,Rainy,Commercial,Low,6,23,5,12,34,2025-12-16
160,2025-03-11 15:32:00,Tuesday,15,Stormy,School Zone,Low,6,12,2,13,20,2025-03-11
161,2025-05-11 21:29:00,Sunday,21,Clear,Highway,Low,7,21,3,20,31,2025-05-11
162,2025-04-02 06:59:00,Wednesday,6,Clear,Industrial,Low,14,26,3,18,43,2025-04-02
163,2025-01-11 12:12:00,Saturday,12,Rainy,Highway,Low,17,25,4,12,46,2025-01-11
164,2025-08-02 02:08:00,Saturday,2,Clear,School Zone,Low,7,19,1,20,27,2025-08-02
165,2025-05-28 12:56:00,Wednesday,12,Rainy,Highway,Medium,43,69,9,24,121,2025-05-28
166,2025-11-20 10:22:00,Thursday,10,Stormy,Industrial,High,98,140,30,127,268,2025-11-20
167,2025-10-07 01:20:00,Tuesday,1,Stormy,School Zone,Low,18,15,2,13,35,2025-10-07
168,2025-07-01 08:36:00,Tuesday,8,Foggy,Residential,High,54,123,23,134,200,2025-07-01
169,2025-07-03 01:12:00,Thursday,1,Rainy,School Zone,Medium,32,35,7,22,74,2025-07-03
170,2025-07-11 08:55:00,Friday,8,Clear,Highway,High,117,99,33,171,249,2025-07-11
171,2025-10-08 17:39:00,Wednesday,17,Rainy,Residential,High,51,88,16,153,155,2025-10-08
172,2025-11-29 23:15:00,Saturday,23,Rainy,School Zone,Medium,22,51,14,31,87,2025-11-29
173,2025-09-28 18:15:00,Sunday,18,Cloudy,School Zone,High,50,150,21,154,221,2025-09-28
174,2025-09-07 13:27:00,Sunday,13,Stormy,Commercial,Low,14,30,2,7,46,2025-09-07
175,2025-08-31 23:45:00,Sunday,23,Stormy,School Zone,Low,8,24,4,9,36,2025-08-31
176,2025-09-22 01:32:00,Monday,1,Clear,Industrial,Low,12,13,5,17,30,2025-09-22
177,2025-02-03 13:07:00,Monday,13,Stormy,Residential,Low,10,15,4,13,29,2025-02-03
178,2025-12-01 21:34:00,Monday,21,Stormy,Commercial,Low,12,14,2,20,28,2025-12-01
179,2025-09-04 12:55:00,Thursday,12,Rainy,School Zone,Low,12,22,2,7,36,2025-09-04
180,2025-01-12 20:38:00,Sunday,20,Cloudy,Highway,High,64,117,21,153,202,2025-01-12
181,2025-11-21 18:18:00,Friday,18,Foggy,Industrial,High,58,147,39,60,244,2025-11-21
182,2025-07-01 00:49:00,Tuesday,0,Foggy,Commercial,Low,10,20,2,13,32,2025-07-01
183,2025-04-08 13:44:00,Tuesday,13,Foggy,Residential,Medium,33,46,8,49,87,2025-04-08
184,2025-01-11 13:25:00,Saturday,13,Cloudy,School Zone,Low,6,18,5,10,29,2025-01-11
185,2025-12-20 05:44:00,Saturday,5,Rainy,Residential,Medium,33,48,11,39,92,2025-12-20
186,2025-12-23 14:17:00,Tuesday,14,Clear,School Zone,Medium,38,65,7,20,110,2025-12-23
187,2025-04-08 23:19:00,Tuesday,23,Stormy,Highway,Low,8,16,1,5,25,2025-04-08
188,2025-07-11 23:30:00,Friday,23,Foggy,Residential,Low,17,19,1,8,37,2025-07-11
189,2025-06-14 04:54:00,Saturday,4,Stormy,Highway,Medium,30,53,10,28,93,2025-06-14
190,2025-06-21 03:04:00,Saturday,3,Clear,Industrial,Low,8,22,4,17,34,2025-06-21
191,2025-06-15 18:29:00,Sunday,18,Stormy,Highway,Medium,35,58,12,36,105,2025-06-15
192,2025-10-24 09:55:00,Friday,9,Stormy,Residential,Medium,41,64,10,30,115,2025-10-24
193,2025-06-02 08:00:00,Monday,8,Foggy,Residential,Medium,46,50,8,55,104,2025-06-02
194,2025-07-31 23:14:00,Thursday,23,Rainy,Commercial,Medium,29,60,10,47,99,2025-07-31
195,2025-12-07 21:04:00,Sunday,21,Clear,School Zone,Low,18,19,1,16,38,2025-12-07
196,2025-04-17 16:21:00,Thursday,16,Cloudy,School Zone,Medium,49,37,7,28,93,2025-04-17
197,2025-05-15 10:22:00,Thursday,10,Stormy,Highway,High,94,104,39,126,237,2025-05-15
198,2025-01-21 09:13:00,Tuesday,9,Clear,Commercial,High,66,124,17,64,207,2025-01-21
199,2025-02-24 00:26:00,Monday,0,Stormy,School Zone,Low,12,11,2,15,25,2025-02-24
200,2025-08-25 15:35:00,Monday,15,Stormy,Residential,Medium,32,33,11,56,76,2025-08-25
201,2025-09-10 16:41:00,Wednesday,16,Clear,School Zone,Low,17,30,4,5,51,2025-09-10
202,2025-06-23 14:40:00,Monday,14,Clear,School Zone,Medium,21,39,14,29,74,2025-06-23
203,2025-08-28 07:04:00,Thursday,7,Rainy,School Zone,Medium,27,46,15,56,88,2025-08-28
204,2025-06-11 05:38:00,Wednesday,5,Cloudy,Commercial,Medium,47,44,15,50,106,2025-06-11
205,2025-08-29 10:38:00,Friday,10,Stormy,School Zone,High,63,116,37,80,216,2025-08-29
206,2025-03-30 10:58:00,Sunday,10,Rainy,Commercial,High,120,134,32,179,286,2025-03-30
207,2025-09-05 23:50:00,Friday,23,Rainy,Residential,Low,14,23,1,13,38,2025-09-05
208,2025-12-06 11:05:00,Saturday,11,Foggy,Commercial,Low,7,14,1,10,22,2025-12-06
209,2025-09-09 16:30:00,Tuesday,16,Stormy,School Zone,Medium,36,68,7,58,111,2025-09-09
210,2025-11-23 14:42:00,Sunday,14,Clear,Industrial,Medium,28,65,9,21,102,2025-11-23
211,2025-01-15 14:28:00,Wednesday,14,Foggy,Industrial,Medium,29,60,10,58,99,2025-01-15
212,2025-08-30 03:49:00,Saturday,3,Foggy,Residential,Medium,24,57,6,36,87,2025-08-30
213,2025-12-21 08:49:00,Sunday,8,Cloudy,Residential,High,92,101,16,149,209,2025-12-21
214,2025-02-14 02:39:00,Friday,2,Cloudy,Commercial,Low,18,12,1,17,31,2025-02-14
215,2025-01-23 13:26:00,Thursday,13,Stormy,Industrial,Low,14,15,1,15,30,2025-01-23
216,2025-08-07 11:15:00,Thursday,11,Rainy,Industrial,Medium,31,42,12,35,85,2025-08-07
217,2025-01-15 05:34:00,Wednesday,5,Cloudy,School Zone,Medium,29,32,15,51,76,2025-01-15
218,2025-02-11 02:07:00,Tuesday,2,Cloudy,Highway,Medium,50,65,10,50,125,2025-02-11
219,2025-05-22 02:18:00,Thursday,2,Clear,Residential,Medium,33,45,6,20,84,2025-05-22
220,2025-05-17 22:28:00,Saturday,22,Foggy,Highway,Medium,33,51,15,30,99,2025-05-17
221,2025-05-28 00:02:00,Wednesday,0,Foggy,Residential,Medium,45,56,13,21,114,2025-05-28
222,2025-11-15 04:09:00,Saturday,4,Clear,Industrial,Medium,33,42,15,40,90,2025-11-15
223,2025-01-08 07:35:00,Wednesday,7,Stormy,Industrial,High,120,127,31,125,278,2025-01-08
224,2025-11-24 01:50:00,Monday,1,Clear,Residential,Low,12,21,4,18,37,2025-11-24
225,2025-03-07 15:59:00,Friday,15,Stormy,School Zone,Medium,21,32,6,39,59,2025-03-07
226,2025-04-14 14:04:00,Monday,14,Cloudy,Residential,Medium,47,44,7,30,98,2025-04-14
227,2025-07-22 22:28:00,Tuesday,22,Rainy,School Zone,Low,12,26,4,15,42,2025-07-22
228,2025-10-18 05:43:00,Saturday,5,Stormy,Commercial,Medium,24,70,12,30,106,2025-10-18
229,2025-10-24 19:00:00,Friday,19,Stormy,Highway,High,61,130,36,142,227,2025-10-24
230,2025-11-10 17:22:00,Monday,17,Cloudy,Commercial,Medium,50,32,9,53,91,2025-11-10
231,2025-02-03 17:51:00,Monday,17,Cloudy,Commercial,High,69,141,32,104,242,2025-02-03
232,2025-07-28 12:40:00,Monday,12,Cloudy,Highway,Medium,40,43,6,29,89,2025-07-28
233,2025-05-27 08:29:00,Tuesday,8,Cloudy,Residential,High,105,131,29,91,265,2025-05-27
234,2025-12-10 01:52:00,Wednesday,1,Stormy,School Zone,Low,13,17,0,14,30,2025-12-10
235,2025-07-21 07:40:00,Monday,7,Rainy,Industrial,High,70,92,21,136,183,2025-07-21
236,2025-05-05 23:29:00,Monday,23,Rainy,Residential,Medium,38,70,6,33,114,2025-05-05
237,2025-06-08 12:01:00,Sunday,12,Cloudy,Highway,Medium,20,58,13,21,91,2025-06-08
238,2025-01-30 11:26:00,Thursday,11,Stormy,School Zone,Medium,45,57,7,22,109,2025-01-30
239,2025-04-30 11:41:00,Wednesday,11,Cloudy,Commercial,Medium,32,62,6,30,100,2025-04-30
240,2025-11-17 08:31:00,Monday,8,Rainy,Highway,High,112,120,30,98,262,2025-11-17
241,2025-06-23 17:51:00,Monday,17,Rainy,Industrial,High,98,104,28,128,230,2025-06-23
242,2025-07-24 10:53:00,Thursday,10,Cloudy,Residential,High,78,120,17,154,215,2025-07-24
243,2025-07-09 20:16:00,Wednesday,20,Clear,Industrial,High,108,90,21,180,219,2025-07-09
244,2025-01-27 06:50:00,Monday,6,Foggy,Commercial,Low,18,16,0,13,34,2025-01-27
245,2025-03-22 06:14:00,Saturday,6,Cloudy,Commercial,Low,19,12,5,5,36,2025-03-22
246,2025-10-21 09:03:00,Tuesday,9,Foggy,Industrial,High,108,74,25,102,207,2025-10-21
247,2025-04-20 00:19:00,Sunday,0,Stormy,Highway,Low,17,28,3,14,48,2025-04-20
248,2025-06-06 09:00:00,Friday,9,Cloudy,Commercial,High,61,124,21,98,206,2025-06-06
249,2025-08-22 23:09:00,Friday,23,Foggy,Commercial,Medium,40,68,5,49,113,2025-08-22
250,2025-12-12 09:07:00,Friday,9,Foggy,Industrial,High,87,126,36,107,249,2025-12-12
251,2025-01-01 22:07:00,Wednesday,22,Clear,School Zone,Medium,38,51,8,32,97,2025-01-01
252,2025-10-11 12:23:00,Saturday,12,Rainy,Commercial,Medium,27,45,6,22,78,2025-10-11
253,2025-07-19 20:24:00,Saturday,20,Clear,Highway,Medium,24,30,15,37,69,2025-07-19
254,2025-07-24 01:29:00,Thursday,1,Cloudy,Commercial,Low,9,11,0,16,20,2025-07-24
255,2025-11-04 10:39:00,Tuesday,10,Clear,Highway,Medium,33,41,14,60,88,2025-11-04
256,2025-01-05 19:44:00,Sunday,19,Foggy,Industrial,High,101,147,37,102,285,2025-01-05
257,2025-11-17 18:13:00,Monday,18,Rainy,Highway,High,103,82,37,117,222,2025-11-17
258,2025-11-13 20:08:00,Thursday,20,Foggy,Highway,High,87,142,20,161,249,2025-11-13
259,2025-07-31 13:41:00,Thursday,13,Foggy,Industrial,Medium,22,62,5,29,89,2025-07-31
260,2025-11-10 18:21:00,Monday,18,Clear,Residential,High,59,123,15,86,197,2025-11-10
261,2025-04-23 03:09:00,Wednesday,3,Stormy,Residential,Low,15,27,3,12,45,2025-04-23
262,2025-03-04 19:56:00,Tuesday,19,Stormy,Commercial,High,72,100,38,97,210,2025-03-04
263,2025-02-12 12:50:00,Wednesday,12,Cloudy,School Zone,Low,16,11,2,14,29,2025-02-12
264,2025-10-08 01:19:00,Wednesday,1,Stormy,Highway,Low,17,12,2,16,31,2025-10-08
265,2025-01-21 21:13:00,Tuesday,21,Rainy,School Zone,Low,8,16,0,14,24,2025-01-21
266,2025-01-28 04:32:00,Tuesday,4,Stormy,Residential,Low,16,25,3,19,44,2025-01-28
267,2025-01-05 11:09:00,Sunday,11,Cloudy,Residential,Low,7,14,4,12,25,2025-01-05
